serie,site,zone,TipoDeArea,transect,latitud,estacion,year,profundidad (m),temperatura celsius,hora_num_util,familia,especie,grupo_funcional,grupo_trofico,forrajeo_hr,PF_hr,estado,,,,,,
GOPR9514,Cobquecura,Sur Centro,AMERB,2,-28.553365,summer,2020,12.6,14,0.401666667,NaN,NaN,NaN,Carnivoro,0,0,INCOMPLETO,,,,,,
GOPR9514,Cobquecura,Sur Centro,AMERB,2,-28.553365,summer,2020,12.6,14,0.401666667,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
GOPR9515,Cobquecura,Sur Centro,AMERB,1,-28.553365,summer,2020,7.2,14,0.8825,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.566572238,0.16283721,INCOMPLETO,,,,,,
GOPR9515,Cobquecura,Sur Centro,AMERB,1,-28.553365,summer,2020,7.2,14,0.8825,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.542495479,0.155917364,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,5.967450271,1.715091007,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.542495479,0.155917364,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.084990958,0.311834729,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.169981917,0.623669457,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.169981917,0.623669457,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.627486438,0.467752093,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.084990958,0.311834729,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.542495479,0.155917364,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.542495479,0.155917364,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.084990958,0.311834729,INCOMPLETO,,,,,,
GOPR19486,Punta el Yeso,Norte,AMERB,1,-23.411305,summer,2020,15,15,0.921666667,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
GH010123,Punta el Yeso,Norte,AMERB,2,-23.411305,fall ,2021,11.2,15,0.859166667,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.581959263,0.002525311,COMPLETO,,,,,,
GH010123,Punta el Yeso,Norte,AMERB,2,-23.411305,fall ,2021,11.2,15,0.859166667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.581959263,0.206575308,COMPLETO,,,,,,
GH010123,Punta el Yeso,Norte,AMERB,2,-23.411305,fall ,2021,11.2,15,0.859166667,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.581959263,0.002525311,COMPLETO,,,,,,
GH010123,Punta el Yeso,Norte,AMERB,2,-23.411305,fall ,2021,11.2,15,0.859166667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.581959263,0.206575308,COMPLETO,,,,,,
GH019867,Quintay,Central,AMERB,1,-33.187052,Spring,2021,14.3,13,0.397166667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,5.035669324,0.122026404,COMPLETO,,,,,,
GH019867,Quintay,Central,AMERB,1,-33.187052,Spring,2021,14.3,13,0.397166667,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH020199,Quintay,Central,AMERB,5,-33.187052,Spring,2021,18.5,13,0.694433333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH020199,Quintay,Central,AMERB,5,-33.187052,Spring,2021,18.5,13,0.694433333,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GH020200,Quintay,Central,AMERB,7,-33.187052,Spring,2021,19,13,0.634333333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,4.729374672,0.061983701,COMPLETO,,,,,,
GH020200,Quintay,Central,AMERB,7,-33.187052,Spring,2021,19,13,0.634333333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,3.152916448,0.041322467,COMPLETO,,,,,,
GH020200,Quintay,Central,AMERB,7,-33.187052,Spring,2021,18,13,0.634333333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH019868,Quintay,Central,AMERB,2,-33.187052,Spring,2021,19.5,15,0.4875,Pomacentridae,Chromis crusma,Planktivore,Planctivoro,1.025641026,0.03206985,COMPLETO,,,,,,
GH019868,Quintay,Central,AMERB,2,-33.187052,Spring,2021,19.5,15,0.4875,Pomacentridae,Chromis crusma,Planktivore,Planctivoro,1.025641026,0.03206985,COMPLETO,,,,,,
GH019868,Quintay,Central,AMERB,2,-33.187052,Spring,2021,19.5,15,0.4875,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH019868,Quintay,Central,AMERB,2,-33.187052,Spring,2021,19.5,15,0.4875,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GH019870,Quintay,Central,AMERB,4,-33.187052,Spring,2021,19.9,17,0.363,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH019870,Quintay,Central,AMERB,4,-33.187052,Spring,2021,19.9,17,0.363,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GH029871,Quintay,Central,AMERB,3,-33.187052,Spring,2021,10,,0.2725,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.834862385,0.018974985,COMPLETO,,,,,,
GH029871,Quintay,Central,AMERB,3,-33.187052,Spring,2021,10,,0.2725,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH010201,Quintay,Central,AMERB,6,-33.187052,Spring,2021,13.9,16,0.162666667,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH010201,Quintay,Central,AMERB,6,-33.187052,Spring,2021,13.9,16,0.162666667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,3.073770492,0.009572365,COMPLETO,,,,,,
GH010201,Quintay,Central,AMERB,6,-33.187052,Spring,2021,13.9,16,0.162666667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,18.44262295,0.111179354,COMPLETO,,,,,,
GH010212,Las Cruces,Central,AMERB,1,-33.495009,Spring,2021,NaN,NaN,0.485833333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH010212,Las Cruces,Central,AMERB,1,-33.495009,Spring,2021,NaN,NaN,0.485833333,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,4.98960499,0.030079293,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,9.979209979,0.130788616,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,2.494802495,0.015039647,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.247401247,0.012899834,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,2.494802495,0.015039647,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.247401247,1.067835938,COMPLETO,,,,,,
GH029925,Las Cruces,Central,AMCP,1,-33.495009,Spring,2022,NaN,NaN,0.400833333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.247401247,0.007519823,COMPLETO,,,,,,
GH019679,Chañaral de Aceituno,Norte Centro,ALA,1,-29.071608,Spring,2021,9.2,18,0.1905,Aplodactylidae ,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,5.249343832,0.394116276,COMPLETO,,,,,,
GH019679,Chañaral de Aceituno,Norte Centro,ALA,1,-29.071608,Spring,2021,9.2,18,0.1905,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH010188,Chañaral de Aceituno,Norte Centro,ALA,2,-29.071608,Spring,2021,13.9,14,0.133333333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH010188,Chañaral de Aceituno,Norte Centro,ALA,2,-29.071608,Spring,2021,13.9,14,0.133333333,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,-29.071608,Spring,2021,19.4,12,0.430833333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
